Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
41,2.0,0.0,0.0,55.0,1.0,55.0,2179.0,0.1,16.915258097416853,0.0,0.0,561.9279761314392,,,,,,,,,,,,,,,,,,,,,3.457584435190178,4.878207515132029,16.758591377645285,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,93.0,2.0,38.0,2217.0,0.1,19.23864607056378,0.0,0.0,565.8984174728394,,,,,,,,,,,,,,,,,,,,,5.266702805133408,6.233352130520537,19.076645578480075,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,145.0,3.0,52.0,2269.0,0.1,20.587222270592747,0.0,0.0,571.3243370056152,,,,,,,,,,,,,,,,,,,,,5.776642818728394,5.7893858921859405,20.327471459466317,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,222.0,4.0,77.0,2346.0,0.1,53.74644113691711,0.0,0.0,579.1894953250885,,,,,,,,,,,,,,,,,,,,,20.320302309949096,17.192335853134995,52.28629816909105,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,244.0,5.0,22.0,2368.0,0.1,5.2263401043085365,0.0,0.0,581.6568174362183,,,,,,,,,,,,,,,,,,,,,1.4941307667035943,1.7420883508631337,5.203871767103494,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,268.0,6.0,24.0,2392.0,0.1,7.676281575484534,0.0,0.0,584.454559803009,,,,,,,,,,,,,,,,,,,,,2.058771602381936,2.4640859118304617,7.642147710300255,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,400.0,7.0,132.0,2524.0,0.1,53.48197238545955,0.0,0.0,597.7515549659729,,,,,,,,,,,,,,,,,,,,,23.161686776999872,14.984102296986334,50.52563046619751,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,459.0,8.0,59.0,2583.0,0.1,27.59865973552499,0.0,0.0,603.7813146114349,,,,,,,,,,,,,,,,,,,,,8.927190705670402,8.23755952710286,27.126180719148017,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,505.0,9.0,46.0,2629.0,0.1,13.279482579859936,0.0,0.0,608.5309937000275,,,,,,,,,,,,,,,,,,,,,2.9334907565715436,3.79105732550367,13.170870575337759,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,628.0,10.0,123.0,2752.0,0.1,67.31959217166552,0.0,0.0,620.7387018203735,,,,,,,,,,,,,,,,,,,,,22.696976362040434,20.029708940485836,64.65711364931948,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
